# taille de la grille
X 1024
Y 1024
# position des obstacles
# Xmin Xmax Ymin Ymax
# si pas obstacle : mettre -1 comme valeur
# 16 obstacles
1 62 162 121
57 145 113 206
101 171 247 163
152 198 296 214
201 300 329 473
260 292 352 312
310 358 465 376
352 402 353 593
401 449 465 583
457 523 542 724
504 592 610 596
554 591 667 581
602 662 636 785
653 711 748 804
709 721 843 762
752 790 776 789
# position initiale des personnes (X, Y) et case de sortie (X, Y)
# 1024 personnes
333 462 0 1023
537 549 1023 1023
658 12 1023 1023
798 182 0 1023
970 462 1023 1023
426 286 1023 1023
510 342 1023 0
956 128 1023 1023
433 875 0 1023
534 133 1023 1023
444 109 0 0
96 866 1023 1023
393 791 0 0
761 847 1023 0
24 293 1023 1023
147 936 0 0
914 900 0 0
576 816 0 1023
471 96 1023 1023
251 82 1023 0
607 117 0 1023
691 55 1023 1023
240 185 0 0
300 636 1023 0
30 517 1023 0
572 167 0 1023
661 47 0 0
746 545 1023 1023
975 113 0 0
342 881 1023 0
560 980 0 1023
823 268 1023 0
190 258 1023 1023
532 142 0 1023
307 665 1023 1023
313 144 0 0
403 919 0 1023
893 348 0 0
566 109 0 1023
780 377 0 0
384 236 1023 0
301 219 1023 1023
47 190 0 0
826 370 0 0
585 313 0 0
645 311 0 0
410 18 0 0
692 879 0 1023
223 785 0 1023
706 122 1023 1023
674 141 0 0
259 889 1023 1023
617 411 0 1023
74 524 1023 0
922 529 1023 0
116 1023 0 1023
183 61 0 0
849 866 1023 0
262 168 1023 0
649 895 1023 1023
190 83 0 0
745 535 1023 0
581 373 0 0
230 128 1023 0
190 996 1023 1023
702 416 1023 1023
523 68 1023 1023
1003 758 0 1023
275 913 1023 1023
375 203 0 1023
55 1018 1023 1023
422 830 0 0
293 808 1023 0
395 820 0 1023
710 511 1023 1023
758 602 1023 0
102 613 1023 1023
37 783 0 0
767 649 0 1023
133 719 1023 0
983 999 1023 0
964 529 1023 1023
240 57 0 1023
498 29 1023 0
934 352 1023 1023
233 887 1023 1023
460 65 1023 1023
460 361 1023 0
420 1002 1023 0
726 915 0 1023
143 975 1023 0
82 967 0 1023
23 612 0 1023
24 414 0 0
183 319 1023 1023
336 631 1023 1023
7 829 0 1023
939 141 1023 0
267 42 0 0
843 173 1023 0
957 460 0 0
756 20 1023 1023
471 401 0 1023
477 905 0 1023
787 151 0 1023
253 193 1023 1023
902 153 1023 1023
860 50 1023 1023
942 458 1023 1023
817 724 1023 1023
53 194 0 0
953 10 0 0
246 607 1023 0
900 131 1023 1023
640 191 1023 1023
482 68 0 1023
395 617 1023 0
899 479 1023 0
965 747 1023 0
825 976 0 1023
820 377 0 1023
241 489 0 1023
894 457 0 0
46 715 0 0
801 418 0 1023
321 337 0 1023
733 531 0 1023
134 62 0 1023
452 92 0 0
984 52 0 0
1020 275 0 0
119 226 1023 1023
411 936 1023 0
967 333 1023 0
534 471 1023 1023
609 409 1023 0
417 588 1023 1023
704 478 0 1023
786 399 1023 1023
862 425 1023 1023
583 357 1023 1023
345 637 0 0
751 586 1023 1023
100 445 1023 0
52 413 0 0
652 78 1023 0
892 422 1023 0
89 31 0 0
620 906 0 1023
364 930 1023 1023
841 825 0 1023
436 736 0 0
903 925 0 0
505 490 0 0
308 299 1023 0
715 1018 1023 0
458 937 0 0
635 527 0 0
614 597 0 1023
883 755 0 1023
626 441 0 0
140 708 1023 0
773 634 1023 1023
248 782 1023 1023
189 7 1023 0
