# taille de la grille
X 1024
Y 1024
# position des obstacles
# Xmin Xmax Ymin Ymax
# si pas obstacle : mettre -1 comme valeur
# 16 obstacles
5 93 105 38
57 133 179 271
101 194 282 381
163 249 258 185
205 253 286 442
252 336 420 439
310 313 469 302
354 395 355 358
402 411 445 588
461 453 579 662
510 547 622 657
551 601 617 611
610 642 631 603
651 721 797 831
704 704 837 955
759 775 772 789
# position initiale des personnes (X, Y) et case de sortie (X, Y)
# 1024 personnes
634 15 1023 0
891 81 0 0
11 377 0 1023
948 644 0 1023
345 115 0 0
312 581 0 1023
126 76 1023 1023
148 656 1023 0
181 151 0 1023
133 509 1023 0
614 57 0 1023
376 427 1023 1023
398 495 1023 0
539 435 0 1023
395 189 1023 0
412 659 1023 0
931 660 0 0
699 285 1023 1023
620 441 0 1023
876 124 0 0
736 443 1023 0
322 1000 0 0
338 292 1023 0
148 902 0 1023
283 706 1023 1023
295 238 0 1023
496 182 0 1023
326 608 1023 0
218 524 1023 0
409 352 1023 1023
1022 564 1023 0
8 759 1023 0
892 423 1023 0
968 64 1023 0
45 812 0 0
530 148 1023 1023
366 110 1023 0
468 40 1023 1023
589 796 1023 0
658 542 1023 0
777 580 0 0
271 191 1023 0
816 595 1023 0
1017 79 1023 1023
427 714 1023 0
291 765 1023 0
699 1004 1023 0
953 458 1023 1023
593 416 0 1023
476 53 0 0
252 947 1023 1023
1015 984 0 1023
413 801 1023 0
851 645 1023 0
988 560 0 0
768 925 1023 0
814 170 0 1023
384 829 1023 0
943 47 0 1023
210 835 1023 0
574 117 0 1023
934 523 1023 0
293 80 1023 0
7 794 1023 1023
252 275 1023 0
849 59 1023 1023
789 910 0 1023
363 233 1023 1023
531 1007 0 0
773 954 0 0
976 109 1023 0
868 725 1023 1023
530 228 0 1023
56 211 1023 0
163 519 0 1023
1018 568 1023 0
48 27 1023 1023
741 76 1023 0
801 943 1023 1023
581 367 1023 1023
672 914 0 1023
348 748 0 0
492 531 0 0
989 78 0 0
581 181 0 1023
254 815 1023 0
495 255 0 1023
114 938 0 1023
450 803 0 1023
886 209 0 0
773 1008 0 1023
909 275 1023 1023
961 187 0 0
62 1005 1023 0
541 469 0 0
423 362 1023 0
598 125 0 1023
292 907 0 1023
51 50 1023 1023
472 151 1023 0
127 149 1023 1023
27 222 0 0
959 712 1023 1023
392 376 0 1023
1016 793 0 0
35 880 0 0
83 980 1023 1023
437 763 0 0
397 682 1023 1023
146 764 1023 1023
826 704 0 0
648 736 0 1023
566 478 0 1023
937 618 1023 0
303 442 0 0
650 711 1023 1023
465 416 0 1023
459 927 1023 1023
632 700 1023 1023
43 688 1023 0
679 90 0 0
709 590 1023 0
16 76 0 1023
409 254 1023 0
886 287 0 1023
411 402 1023 0
775 97 1023 0
343 247 0 1023
456 428 1023 1023
962 10 0 0
894 4 1023 1023
217 916 0 0
752 431 0 1023
182 859 0 1023
949 808 1023 1023
900 307 0 0
473 123 1023 0
440 287 0 0
820 419 0 0
342 196 1023 0
540 771 1023 1023
721 742 0 1023
426 356 0 1023
701 2 1023 1023
345 691 0 0
225 230 1023 0
836 178 1023 0
34 95 0 0
374 969 1023 0
466 436 0 0
278 251 0 1023
1017 69 0 0
925 103 0 1023
77 871 0 1023
223 858 1023 1023
986 327 0 1023
732 669 1023 0
751 829 1023 1023
223 681 0 0
254 800 1023 0
315 783 0 1023
73 535 1023 1023
384 661 0 0
638 383 1023 1023
796 3 1023 0
680 733 1023 1023
669 754 0 0
922 649 0 1023
649 198 1023 0
8 164 1023 1023
774 902 1023 0
297 370 0 1023
465 209 0 0
556 609 0 0
124 7 1023 1023
288 584 1023 1023
22 1014 0 1023
890 626 1023 1023
4 243 1023 0
651 876 1023 1023
852 945 1023 1023
361 504 1023 0
763 230 1023 1023
954 225 1023 1023
1000 681 1023 0
188 868 0 1023
813 464 0 0
913 771 1023 1023
626 1016 1023 1023
398 197 0 1023
192 205 1023 0
473 125 0 1023
583 982 1023 0
799 129 0 1023
266 198 0 0
959 654 1023 1023
877 240 0 0
683 505 0 0
758 37 1023 0
628 846 0 0
138 190 0 1023
853 692 0 1023
