# taille de la grille
X 1024
Y 1024
# position des obstacles
# Xmin Xmax Ymin Ymax
# si pas obstacle : mettre -1 comme valeur
# 16 obstacles
1 21 192 32
52 94 107 149
105 184 129 226
154 256 197 156
202 271 245 442
257 315 280 313
302 397 331 543
355 432 353 571
403 492 473 433
453 506 494 483
507 591 545 682
558 641 631 650
602 605 721 692
656 726 798 777
712 785 812 701
753 763 935 812
# position initiale des personnes (X, Y) et case de sortie (X, Y)
# 1024 personnes
839 123 1023 1023
209 450 0 1023
67 765 1023 1023
987 608 1023 1023
495 189 1023 1023
288 427 1023 0
797 961 1023 1023
275 409 1023 1023
919 659 1023 0
531 101 0 0
465 460 1023 1023
235 716 1023 0
65 832 0 0
237 134 0 1023
1018 884 0 0
217 71 0 0
521 839 0 0
591 951 1023 0
62 699 0 0
559 352 0 1023
420 835 0 1023
994 198 0 0
154 963 0 1023
699 732 1023 1023
754 271 0 1023
213 990 1023 0
673 574 0 1023
525 72 0 1023
535 834 1023 1023
982 46 1023 1023
55 508 1023 1023
377 824 0 1023
457 354 0 0
770 1001 1023 1023
174 71 0 1023
140 680 1023 0
246 476 0 0
435 931 1023 1023
408 21 1023 1023
773 916 1023 0
753 105 1023 1023
60 881 1023 1023
608 271 1023 1023
728 44 1023 1023
648 926 0 0
735 105 1023 0
738 511 1023 1023
418 745 0 1023
513 309 1023 1023
632 290 1023 1023
724 534 1023 1023
315 707 1023 1023
296 328 0 0
130 652 1023 0
499 866 1023 0
383 788 1023 1023
964 369 0 1023
28 119 0 1023
222 939 1023 0
553 937 0 0
66 19 0 0
815 831 1023 0
62 894 0 0
962 587 1023 1023
283 578 1023 1023
642 101 0 0
212 193 0 0
565 470 1023 0
452 418 0 0
757 350 0 1023
382 42 1023 1023
320 923 0 1023
693 889 1023 1023
301 900 0 0
895 560 1023 0
160 247 0 0
994 295 1023 0
857 487 1023 0
553 323 1023 0
531 370 1023 0
43 125 0 0
540 303 0 1023
559 342 0 0
927 123 1023 0
826 506 1023 0
801 29 1023 0
