# taille de la grille
X 1024
Y 1024
# position des obstacles
# Xmin Xmax Ymin Ymax
# si pas obstacle : mettre -1 comme valeur
# 16 obstacles
2 83 21 62
56 138 181 171
106 193 143 311
153 177 331 313
203 286 242 237
258 349 273 384
306 316 361 455
351 393 402 413
405 414 422 558
452 526 602 640
511 506 605 747
555 591 734 764
602 632 723 874
658 651 794 651
705 776 721 704
762 845 916 972
# position initiale des personnes (X, Y) et case de sortie (X, Y)
# 1024 personnes
405 677 0 1023
250 155 0 1023
369 554 1023 1023
518 702 1023 0
619 1012 0 1023
214 831 1023 0
390 197 0 1023
40 770 0 0
982 17 1023 0
757 204 1023 1023
323 199 0 1023
889 150 0 0
745 459 1023 1023
788 448 0 1023
436 852 0 0
401 332 1023 0
703 230 0 1023
286 855 0 0
467 415 1023 0
998 597 1023 1023
531 609 0 0
195 246 1023 0
695 932 1023 0
447 650 0 1023
113 687 0 1023
308 154 0 1023
675 78 0 1023
1011 791 0 1023
788 513 1023 0
629 397 0 0
523 401 1023 1023
345 605 1023 0
683 967 1023 0
589 948 0 1023
218 446 1023 1023
27 672 0 0
172 1017 0 0
504 464 1023 0
413 50 1023 1023
859 903 0 0
429 831 0 1023
1013 844 1023 0
650 261 1023 0
98 446 0 1023
768 995 0 1023
570 99 0 0
550 682 1023 0
693 710 1023 0
644 520 0 0
169 415 0 1023
676 293 1023 1023
817 659 0 0
368 805 0 0
7 676 1023 0
775 436 1023 0
31 854 1023 1023
745 56 0 1023
131 378 1023 1023
418 229 1023 1023
241 247 0 1023
933 807 1023 0
826 554 1023 0
53 548 0 0
361 588 1023 0
385 131 0 1023
903 136 0 0
235 83 0 0
976 1021 1023 1023
85 966 1023 1023
782 974 0 1023
505 385 1023 0
739 570 0 1023
861 918 1023 0
365 92 1023 0
744 999 0 1023
1015 126 1023 1023
273 152 0 1023
684 82 0 1023
527 577 0 0
537 954 0 0
8 888 1023 0
259 620 0 1023
434 384 1023 0
56 822 0 1023
628 558 0 0
411 596 0 0
905 569 1023 1023
120 667 0 0
745 9 0 0
233 418 0 1023
472 427 1023 1023
680 904 0 0
194 940 1023 1023
681 259 1023 0
208 196 1023 0
806 356 0 0
49 655 1023 1023
724 277 0 1023
321 508 1023 1023
542 882 0 1023
474 549 0 0
801 323 0 1023
25 841 1023 1023
156 129 0 1023
64 114 0 1023
962 776 0 0
104 150 0 0
831 564 0 1023
105 648 0 1023
930 588 0 1023
26 865 1023 0
174 101 0 0
768 197 0 1023
785 669 1023 0
1012 190 0 1023
230 374 1023 0
407 236 0 1023
196 934 0 0
55 221 1023 1023
616 135 1023 1023
246 828 1023 1023
633 586 1023 0
14 729 0 1023
332 111 1023 1023
399 356 0 0
225 53 0 1023
883 526 1023 1023
296 725 1023 0
612 370 0 0
623 707 0 0
642 73 1023 0
31 292 0 0
315 738 0 0
497 758 1023 0
306 544 0 1023
159 554 1023 0
532 898 1023 0
550 867 1023 0
552 89 0 1023
380 328 1023 0
335 269 0 0
656 714 1023 0
220 85 0 0
742 631 1023 0
665 641 1023 1023
821 76 1023 1023
361 708 0 1023
442 948 0 0
78 217 0 0
744 100 1023 1023
46 724 1023 1023
155 117 0 1023
218 983 1023 0
807 695 0 1023
271 10 1023 0
512 482 1023 0
901 25 1023 0
527 681 0 1023
493 128 0 0
684 211 1023 1023
946 458 0 1023
360 575 0 1023
645 667 1023 0
227 677 1023 0
924 784 0 1023
559 356 0 0
274 892 1023 0
225 609 1023 0
205 877 0 1023
244 646 1023 0
594 633 1023 1023
29 238 0 0
810 439 1023 0
666 130 0 0
336 507 1023 0
417 331 0 1023
31 953 1023 0
716 408 0 1023
757 692 0 0
617 961 0 0
585 332 1023 1023
142 432 0 1023
545 322 0 1023
496 953 0 1023
403 416 1023 1023
670 864 1023 0
3 828 1023 0
944 986 1023 0
108 962 1023 1023
956 770 1023 0
439 851 0 0
296 791 0 1023
649 177 0 1023
219 453 0 0
888 312 1023 1023
67 727 0 0
931 418 0 0
47 390 0 1023
504 504 0 0
201 599 1023 1023
789 276 1023 0
973 865 1023 1023
119 773 1023 0
238 437 1023 1023
898 439 0 1023
91 499 0 0
791 464 0 0
261 654 1023 0
840 113 1023 1023
364 181 1023 1023
299 818 1023 0
7 989 0 0
914 210 1023 1023
513 358 1023 0
103 764 0 0
834 103 1023 0
280 740 0 0
802 825 1023 1023
926 451 1023 0
825 129 1023 1023
258 421 0 0
432 247 0 0
902 163 1023 1023
557 616 0 0
679 295 0 0
981 555 0 1023
552 229 1023 1023
529 773 1023 0
156 458 0 1023
312 127 1023 0
645 814 1023 0
227 674 1023 0
893 147 1023 0
465 495 0 0
492 505 0 1023
581 462 1023 1023
974 525 0 1023
1019 274 0 0
990 801 1023 1023
142 568 0 0
152 706 1023 0
240 819 1023 1023
502 912 0 1023
747 514 1023 0
955 153 1023 0
958 301 0 0
931 381 1023 1023
612 298 0 0
72 674 0 1023
112 810 1023 0
924 532 0 1023
94 563 1023 0
602 997 1023 0
860 712 1023 1023
342 791 1023 0
1010 944 1023 0
981 780 1023 0
591 237 1023 1023
725 52 0 1023
798 686 0 0
504 718 1023 1023
645 421 1023 0
194 534 1023 0
1010 646 0 1023
370 172 1023 1023
686 847 1023 0
955 553 1023 1023
974 488 0 1023
406 901 0 0
391 46 0 1023
234 726 1023 0
135 758 1023 1023
996 600 0 0
770 726 1023 1023
585 850 0 0
892 342 0 0
338 945 0 0
829 899 0 1023
81 275 1023 0
149 548 0 0
572 128 1023 0
934 162 1023 1023
198 369 1023 1023
249 690 0 1023
566 573 0 1023
166 75 0 0
473 399 1023 1023
687 434 0 1023
26 180 0 0
709 978 0 0
637 793 0 1023
209 580 1023 0
939 771 0 0
247 522 0 1023
628 617 1023 0
61 660 0 1023
949 394 1023 0
136 994 1023 0
814 158 1023 1023
625 170 1023 1023
546 231 1023 1023
184 138 0 0
291 992 1023 0
505 40 0 1023
410 984 1023 0
334 567 0 0
366 215 1023 0
832 750 0 0
914 8 0 0
881 872 1023 0
204 811 0 0
434 415 1023 1023
445 292 1023 0
54 18 0 1023
334 775 1023 1023
1007 155 0 1023
750 945 1023 0
819 203 0 0
784 803 1023 1023
693 926 1023 1023
376 637 0 0
173 471 0 1023
27 492 1023 0
688 349 1023 1023
323 477 0 0
934 46 0 1023
363 955 0 1023
349 186 0 1023
351 512 0 0
260 859 0 1023
797 722 1023 1023
82 211 1023 0
439 606 0 0
672 219 1023 0
793 196 0 0
187 400 0 0
565 121 1023 1023
46 523 0 0
170 358 1023 0
495 677 0 1023
898 472 1023 1023
958 50 1023 1023
284 219 1023 0
697 933 1023 0
118 678 0 1023
624 81 1023 0
731 464 1023 0
65 304 1023 0
3 380 1023 0
280 504 0 0
58 158 1023 1023
1021 353 1023 1023
936 66 0 1023
955 660 1023 0
75 1006 0 1023
870 272 1023 1023
550 946 1023 1023
64 594 1023 0
235 632 1023 1023
911 565 0 0
193 578 1023 0
802 271 0 0
261 1006 0 0
697 254 0 1023
657 82 1023 0
609 516 0 0
72 90 1023 1023
206 379 1023 0
925 1023 1023 1023
716 149 1023 0
148 611 0 1023
648 804 0 0
745 733 0 0
269 724 0 0
888 86 0 0
922 479 1023 0
786 160 1023 1023
70 555 0 0
346 235 1023 1023
157 724 0 1023
782 114 0 1023
752 612 1023 0
100 861 0 1023
972 481 0 1023
932 179 1023 1023
666 145 1023 0
233 112 1023 0
319 992 0 1023
860 23 0 0
781 585 0 0
377 373 0 0
613 233 0 0
391 731 0 0
600 295 1023 0
75 899 0 1023
361 649 0 0
30 707 0 1023
124 687 1023 0
11 335 0 1023
81 11 0 0
729 816 0 0
478 56 0 0
566 785 0 1023
733 462 0 0
245 738 1023 0
680 147 1023 0
82 257 1023 0
109 611 1023 0
426 22 0 0
1011 1017 0 0
504 552 1023 1023
600 546 0 1023
806 891 1023 1023
1000 375 1023 1023
971 495 0 0
691 302 1023 0
589 411 0 1023
1012 282 0 1023
631 326 0 0
847 266 1023 1023
480 779 1023 0
889 176 0 0
573 373 0 1023
307 984 1023 0
733 767 1023 1023
585 320 1023 0
397 603 0 1023
860 332 0 1023
348 460 1023 1023
902 475 1023 0
998 598 1023 0
553 355 1023 0
315 730 0 0
150 591 1023 1023
814 524 1023 0
595 136 0 1023
539 616 0 1023
980 844 1023 1023
281 128 1023 0
344 83 0 1023
851 576 1023 1023
865 177 1023 0
35 335 1023 0
940 741 1023 0
928 658 1023 1023
15 767 0 1023
431 198 0 1023
297 838 0 0
768 291 0 0
326 592 1023 1023
44 531 1023 1023
890 392 1023 0
